transaction_id,customer_id,timestamp,amount,merchant_category,location,hour,is_night,location_mismatch,fraud_probability,predicted_fraud,is_fraud
TXN0019682,CUST00191,2025-01-01 04:13:00,247.17,Other,Mopti,4,1,0,0.05033834965699222,0,0
TXN0015393,CUST00078,2025-01-01 04:18:00,177.11,Groceries,Mopti,4,1,0,0.05687083358593797,0,0
TXN0006321,CUST00206,2025-01-01 05:45:00,99.13,Other,Kayes,5,1,0,0.024018336057792126,0,0
TXN0002580,CUST00377,2025-01-01 06:26:00,715.84,Other,Sikasso,6,0,1,0.31489664701675835,0,0
TXN0013830,CUST00273,2025-01-01 06:31:00,109.93,Travel,Mopti,6,0,0,0.042182193603198886,0,0
TXN0002714,CUST00385,2025-01-01 06:40:00,102.39,Electronics,Segou,6,0,0,0.022963251697232415,0,0
TXN0001696,CUST00475,2025-01-01 06:49:00,149.33,Cash Withdrawal,Bamako,6,0,0,0.023296070442616515,0,0
TXN0010860,CUST00428,2025-01-01 06:49:00,130.76,Travel,Segou,6,0,0,0.03651685829525484,0,0
TXN0004948,CUST00233,2025-01-01 07:19:00,132.44,Electronics,Mopti,7,0,0,0.05245461666872965,0,0
TXN0017797,CUST00413,2025-01-01 07:23:00,256.14,Fuel,Segou,7,0,0,0.08048017222095835,0,0
TXN0008994,CUST00256,2025-01-01 07:31:00,136.98,Utilities,Bamako,7,0,0,0.03585574417281981,0,0
TXN0002141,CUST00145,2025-01-01 08:00:00,34.32,Groceries,Mopti,8,0,1,0.23198256777398574,0,0
TXN0018776,CUST00166,2025-01-01 08:05:00,419.65,Mobile Money Transfer,Segou,8,0,0,0.07348723353368093,0,0
TXN0008491,CUST00090,2025-01-01 08:23:00,192.52,Online Retail,Kayes,8,0,0,0.14457877610555475,0,0
TXN0011898,CUST00088,2025-01-01 08:29:00,111.85,Utilities,Kayes,8,0,0,0.03410394078397184,0,0
TXN0016573,CUST00380,2025-01-01 09:32:00,99.99,Cash Withdrawal,Kayes,9,0,1,0.16840713939167556,0,0
TXN0008403,CUST00095,2025-01-01 09:35:00,58.3,Fuel,Segou,9,0,0,0.03815928337737938,0,0
TXN0002761,CUST00199,2025-01-01 10:04:00,181.06,Online Retail,Segou,10,0,0,0.08527486531795946,0,0
TXN0007303,CUST00320,2025-01-01 10:06:00,528.58,Travel,Mopti,10,0,0,0.04745300376093064,0,0
TXN0008751,CUST00191,2025-01-01 10:11:00,84.14,Other,Mopti,10,0,0,0.0246157553468254,0,0
TXN0007461,CUST00051,2025-01-01 10:51:00,19.4,Fuel,Kayes,10,0,0,0.025301315439612317,0,0
TXN0007076,CUST00264,2025-01-01 11:14:00,109.88,Mobile Money Transfer,Kayes,11,0,0,0.07162816874009949,0,0
TXN0013117,CUST00266,2025-01-01 11:24:00,402.84,Utilities,Bamako,11,0,0,0.026330410602963542,0,0
TXN0006072,CUST00325,2025-01-01 11:33:00,170.6,Fuel,Kayes,11,0,0,0.06155465237438372,0,0
TXN0008342,CUST00017,2025-01-01 12:04:00,31.54,Online Retail,Kayes,12,0,0,0.05366741147047556,0,0
TXN0011827,CUST00116,2025-01-01 14:25:00,61.66,Travel,Mopti,14,0,0,0.017002109119586425,0,0
TXN0002900,CUST00057,2025-01-01 14:44:00,14.4,Fuel,Sikasso,14,0,0,0.05184303316146485,0,0
TXN0012848,CUST00324,2025-01-01 14:46:00,68.52,Mobile Money Transfer,Kayes,14,0,0,0.03206468486028832,0,0
TXN0006246,CUST00304,2025-01-01 14:48:00,40.71,Fuel,Mopti,14,0,0,0.037464385851879216,0,0
TXN0013384,CUST00005,2025-01-01 14:54:00,159.9,Mobile Money Transfer,Sikasso,14,0,0,0.08781908394170271,0,0
TXN0003893,CUST00059,2025-01-01 16:32:00,94.91,Electronics,Sikasso,16,0,0,0.0644561739186358,0,0
TXN0011410,CUST00050,2025-01-01 16:42:00,22.71,Mobile Money Transfer,Segou,16,0,0,0.02466271549830992,0,0
TXN0008580,CUST00075,2025-01-01 17:08:00,76.29,Groceries,Segou,17,0,0,0.0625631154993098,0,0
TXN0015890,CUST00034,2025-01-01 17:11:00,118.14,Cash Withdrawal,Sikasso,17,0,0,0.08349726507494558,0,0
TXN0018104,CUST00126,2025-01-01 17:20:00,15.54,Travel,Mopti,17,0,0,0.010179517544364813,0,0
TXN0007922,CUST00359,2025-01-01 17:40:00,32.57,Mobile Money Transfer,Kayes,17,0,0,0.02315795960477897,0,0
TXN0019437,CUST00095,2025-01-01 17:44:00,73.99,Other,Segou,17,0,0,0.04799742352449516,0,0
TXN0005159,CUST00469,2025-01-01 17:56:00,415.75,Fuel,Mopti,17,0,0,0.0593451787331318,0,0
TXN0010141,CUST00248,2025-01-01 17:59:00,157.7,Groceries,Segou,17,0,0,0.0868063028075481,0,0
TXN0010910,CUST00357,2025-01-01 18:04:00,640.45,Travel,Kayes,18,0,0,0.06597044923331381,0,0
TXN0005151,CUST00042,2025-01-01 18:24:00,77.04,Cash Withdrawal,Bamako,18,0,0,0.03550909004152287,0,0
TXN0013828,CUST00287,2025-01-01 19:15:00,223.41,Utilities,Segou,19,0,0,0.02174347532299016,0,0
TXN0009708,CUST00199,2025-01-01 19:59:00,196.77,Utilities,Segou,19,0,0,0.019197780041053394,0,0
TXN0007842,CUST00372,2025-01-01 20:11:00,206.62,Groceries,Abroad - Europe,20,0,1,0.17245659575836733,0,0
TXN0010300,CUST00363,2025-01-01 20:23:00,69.18,Cash Withdrawal,Mopti,20,0,0,0.025855741309545897,0,0
TXN0016926,CUST00048,2025-01-01 21:02:00,67.07,Restaurant,Bamako,21,0,0,0.030432958885228227,0,0
TXN0004111,CUST00096,2025-01-01 21:02:00,139.79,Groceries,Bamako,21,0,0,0.11685933227354277,0,0
TXN0006190,CUST00248,2025-01-01 22:26:00,93.86,Online Retail,Segou,22,0,0,0.1255960253018367,0,0
TXN0013112,CUST00242,2025-01-01 22:30:00,257.93,Online Retail,Kayes,22,0,0,0.1685119260793546,0,0
TXN0000754,CUST00142,2025-01-01 22:56:00,35.6,Utilities,Segou,22,0,0,0.009844054018425833,0,0
TXN0003341,CUST00440,2025-01-01 23:02:00,184.18,Electronics,Sikasso,23,1,0,0.03329973210019419,0,0
TXN0000293,CUST00063,2025-01-01 23:06:00,195.8,Travel,Mopti,23,1,0,0.03465818970013374,0,0
TXN0000440,CUST00291,2025-01-01 23:12:00,134.86,Online Retail,Kayes,23,1,1,0.24383144693726316,0,0
TXN0015796,CUST00455,2025-01-01 23:19:00,36.61,Restaurant,Segou,23,1,0,0.011076089887977437,0,0
TXN0016692,CUST00329,2025-01-01 23:26:00,39.09,Groceries,Mopti,23,1,0,0.012454565815758331,0,0
TXN0004445,CUST00073,2025-01-01 23:28:00,9.96,Mobile Money Transfer,Kayes,23,1,0,0.019938728286654047,0,0
TXN0017314,CUST00143,2025-01-01 23:38:00,106.66,Travel,Mopti,23,1,0,0.026267489162720332,0,0
TXN0008500,CUST00375,2025-01-02 00:05:00,46.26,Fuel,Kayes,0,1,0,0.03705228996101826,0,0
TXN0016858,CUST00399,2025-01-02 00:06:00,28.76,Other,Mopti,0,1,0,0.05560125487025985,0,0
TXN0017805,CUST00007,2025-01-02 00:11:00,58.35,Electronics,Bamako,0,1,0,0.0328187823034836,0,0
TXN0011532,CUST00457,2025-01-02 00:19:00,221.14,Mobile Money Transfer,Bamako,0,1,0,0.1211344635091962,0,0
TXN0000993,CUST00353,2025-01-02 00:23:00,504.14,Fuel,Sikasso,0,1,0,0.03986080345207954,0,0
TXN0015057,CUST00079,2025-01-02 01:01:00,61.75,Mobile Money Transfer,Segou,1,1,1,0.09914132632475767,0,0
TXN0016309,CUST00258,2025-01-02 01:01:00,181.89,Utilities,Bamako,1,1,0,0.13850162307957978,0,0
TXN0017970,CUST00487,2025-01-02 01:17:00,74.09,Electronics,Segou,1,1,0,0.01827730808444896,0,0
TXN0002990,CUST00479,2025-01-02 01:31:00,673.77,Travel,Mopti,1,1,0,0.08097368578906441,0,0
TXN0004821,CUST00018,2025-01-02 01:49:00,279.27,Utilities,Segou,1,1,0,0.06029110252140395,0,0
TXN0002160,CUST00197,2025-01-02 02:08:00,215.81,Utilities,Mopti,2,1,0,0.08379496311783216,0,0
TXN0018138,CUST00288,2025-01-02 02:13:00,170.6,Electronics,Bamako,2,1,0,0.03859938077276683,0,0
TXN0019370,CUST00413,2025-01-02 03:08:00,139.71,Mobile Money Transfer,Segou,3,1,0,0.0306087656836448,0,0
TXN0004995,CUST00218,2025-01-02 03:18:00,69.44,Cash Withdrawal,Bamako,3,1,0,0.008895987647105405,0,0
TXN0001134,CUST00299,2025-01-02 04:00:00,46.31,Travel,Abroad - Other,4,1,1,0.11087861455427057,0,0
TXN0009884,CUST00243,2025-01-02 04:12:00,95.25,Cash Withdrawal,Segou,4,1,0,0.0088845076727034,0,0
TXN0018691,CUST00011,2025-01-02 04:23:00,119.63,Restaurant,Kayes,4,1,0,0.03604133614681785,0,0
TXN0007473,CUST00487,2025-01-02 04:34:00,154.52,Travel,Segou,4,1,0,0.01244557541248647,0,0
TXN0013038,CUST00456,2025-01-02 05:05:00,184.9,Online Retail,Segou,5,1,1,0.2377566571250331,0,0
TXN0000597,CUST00137,2025-01-02 05:09:00,139.41,Electronics,Kayes,5,1,0,0.01840145676992675,0,0
TXN0008037,CUST00411,2025-01-02 05:11:00,462.69,Mobile Money Transfer,Abroad - USA,5,1,1,0.5937472989821319,1,1
TXN0010793,CUST00189,2025-01-02 06:09:00,35.19,Other,Kayes,6,0,0,0.025933265382797003,0,0
TXN0015634,CUST00004,2025-01-02 06:35:00,9.99,Other,Mopti,6,0,0,0.021479857338320377,0,0
TXN0007108,CUST00060,2025-01-02 06:48:00,48.86,Online Retail,Segou,6,0,0,0.051357812445523364,0,0
TXN0008827,CUST00198,2025-01-02 07:40:00,69.18,Fuel,Sikasso,7,0,0,0.02828901723176032,0,0
TXN0019257,CUST00010,2025-01-02 08:47:00,349.07,Other,Kayes,8,0,0,0.09742989058829421,0,0
TXN0017128,CUST00478,2025-01-02 08:48:00,47.39,Fuel,Bamako,8,0,0,0.048144100341632905,0,0
TXN0000640,CUST00003,2025-01-02 08:58:00,75.52,Cash Withdrawal,Bamako,8,0,0,0.04457834629180415,0,0
TXN0013745,CUST00084,2025-01-02 09:12:00,147.82,Restaurant,Kayes,9,0,0,0.03326506236681288,0,0
TXN0000056,CUST00344,2025-01-02 09:26:00,48.78,Groceries,Bamako,9,0,0,0.014724422640871074,0,0
TXN0004775,CUST00262,2025-01-02 09:41:00,91.86,Cash Withdrawal,Mopti,9,0,0,0.05750497374094721,0,0
TXN0019721,CUST00204,2025-01-02 10:09:00,40.75,Other,Segou,10,0,0,0.012970909695991836,0,0
TXN0009641,CUST00081,2025-01-02 10:52:00,26.2,Travel,Sikasso,10,0,0,0.03765386771961445,0,0
TXN0003673,CUST00260,2025-01-02 11:03:00,245.65,Mobile Money Transfer,Mopti,11,0,0,0.12895818876062595,0,0
TXN0014693,CUST00363,2025-01-02 11:32:00,411.8,Utilities,Mopti,11,0,0,0.047059755595943595,0,0
TXN0013168,CUST00140,2025-01-02 12:16:00,72.36,Electronics,Kayes,12,0,0,0.03146666027560096,0,0
TXN0013634,CUST00432,2025-01-02 12:18:00,119.22,Utilities,Bamako,12,0,0,0.025247682203885388,0,0
TXN0014558,CUST00052,2025-01-02 12:55:00,860.62,Groceries,Kayes,12,0,0,0.07411745940814085,0,0
TXN0003405,CUST00165,2025-01-02 13:00:00,416.34,Utilities,Abroad - USA,13,0,1,0.5951699284466304,1,1
TXN0017527,CUST00146,2025-01-02 13:06:00,30.19,Electronics,Sikasso,13,0,0,0.17487823731200489,0,0
TXN0011888,CUST00435,2025-01-02 13:13:00,76.7,Fuel,Segou,13,0,0,0.08459079452172266,0,0
TXN0010755,CUST00075,2025-01-02 13:30:00,170.23,Groceries,Segou,13,0,0,0.08384342318737213,0,0
TXN0019380,CUST00309,2025-01-02 13:33:00,29.01,Online Retail,Mopti,13,0,0,0.034365484431336725,0,0
TXN0002003,CUST00061,2025-01-02 13:37:00,486.48,Electronics,Bamako,13,0,0,0.07760759687133403,0,0
TXN0000603,CUST00371,2025-01-02 14:23:00,120.31,Online Retail,Abroad - USA,14,0,1,0.30741460627557077,0,0
TXN0007330,CUST00361,2025-01-02 14:57:00,305.28,Other,Segou,14,0,0,0.07268760827880781,0,0
TXN0014917,CUST00158,2025-01-02 15:21:00,245.27,Groceries,Mopti,15,0,0,0.4153953784283309,0,1
TXN0019138,CUST00129,2025-01-02 15:26:00,15.82,Online Retail,Mopti,15,0,0,0.038466294944503335,0,0
TXN0019126,CUST00377,2025-01-02 15:29:00,108.6,Cash Withdrawal,Bamako,15,0,0,0.07160284331603785,0,0
TXN0003862,CUST00433,2025-01-02 15:53:00,72.1,Mobile Money Transfer,Segou,15,0,0,0.07777760073046941,0,0
TXN0004498,CUST00280,2025-01-02 15:54:00,116.37,Utilities,Kayes,15,0,0,0.029022738911545946,0,0
TXN0006665,CUST00454,2025-01-02 15:55:00,109.94,Fuel,Mopti,15,0,0,0.0805366601356313,0,0
TXN0017370,CUST00017,2025-01-02 16:11:00,36.81,Mobile Money Transfer,Kayes,16,0,0,0.05161412019078737,0,0
TXN0018676,CUST00068,2025-01-02 16:14:00,74.07,Utilities,Sikasso,16,0,1,0.08114018843015203,0,0
TXN0011615,CUST00441,2025-01-02 16:18:00,200.0,Electronics,Sikasso,16,0,0,0.07646517689996711,0,0
TXN0019099,CUST00188,2025-01-02 16:36:00,197.93,Mobile Money Transfer,Bamako,16,0,0,0.14825358550174608,0,0
TXN0005832,CUST00481,2025-01-02 17:34:00,218.25,Mobile Money Transfer,Bamako,17,0,0,0.23727175168746248,0,0
TXN0001465,CUST00468,2025-01-02 18:02:00,152.96,Utilities,Sikasso,18,0,0,0.030402364172643304,0,0
TXN0011955,CUST00482,2025-01-02 18:03:00,77.39,Cash Withdrawal,Mopti,18,0,0,0.03759189469334267,0,0
TXN0016561,CUST00185,2025-01-02 18:41:00,271.22,Groceries,Bamako,18,0,0,0.14367586502736926,0,0
TXN0010210,CUST00110,2025-01-02 19:50:00,26.06,Utilities,Mopti,19,0,0,0.013370730274289073,0,0
TXN0001275,CUST00292,2025-01-02 19:51:00,119.1,Electronics,Bamako,19,0,0,0.051987807199840086,0,0
TXN0005639,CUST00128,2025-01-02 20:26:00,57.44,Groceries,Sikasso,20,0,0,0.046622152438873785,0,0
TXN0014616,CUST00269,2025-01-02 21:08:00,66.32,Fuel,Mopti,21,0,0,0.03153992163912545,0,0
TXN0011132,CUST00443,2025-01-02 21:14:00,61.2,Travel,Mopti,21,0,0,0.017432282806456232,0,0
TXN0006193,CUST00146,2025-01-02 21:27:00,31.42,Utilities,Sikasso,21,0,0,0.08200488225276713,0,0
TXN0006117,CUST00397,2025-01-02 21:41:00,36.22,Fuel,Kayes,21,0,0,0.02687329827727582,0,0
TXN0005297,CUST00089,2025-01-02 22:04:00,72.26,Fuel,Bamako,22,0,0,0.030278169036990217,0,0
TXN0004893,CUST00277,2025-01-02 22:38:00,101.73,Travel,Kayes,22,0,0,0.048750951358972304,0,0
TXN0013146,CUST00292,2025-01-02 22:40:00,189.75,Fuel,Bamako,22,0,0,0.08406798130930476,0,0
TXN0004020,CUST00386,2025-01-02 22:41:00,20.32,Fuel,Kayes,22,0,0,0.012881467767240123,0,0
TXN0001069,CUST00357,2025-01-02 22:46:00,608.92,Other,Kayes,22,0,0,0.073608029871172,0,0
TXN0010799,CUST00244,2025-01-02 22:47:00,518.45,Mobile Money Transfer,Abroad - USA,22,0,1,0.9948181912177533,1,1
TXN0014350,CUST00417,2025-01-02 22:53:00,88.37,Online Retail,Mopti,22,0,0,0.06028600156817238,0,0
TXN0000538,CUST00385,2025-01-02 23:08:00,91.5,Electronics,Segou,23,1,0,0.025108030990612547,0,0
TXN0005392,CUST00377,2025-01-02 23:15:00,225.6,Groceries,Abroad - Europe,23,1,1,0.1939614696013118,0,0
TXN0010666,CUST00127,2025-01-02 23:27:00,537.92,Other,Sikasso,23,1,0,0.036948217193065895,0,0
TXN0015021,CUST00124,2025-01-02 23:31:00,49.63,Electronics,Bamako,23,1,0,0.02201297573729406,0,0
TXN0013550,CUST00074,2025-01-02 23:39:00,37.57,Mobile Money Transfer,Sikasso,23,1,0,0.015311113872523518,0,0
TXN0006924,CUST00425,2025-01-02 23:46:00,58.0,Utilities,Segou,23,1,0,0.010458259398406606,0,0
TXN0017496,CUST00433,2025-01-02 23:58:00,22.56,Fuel,Segou,23,1,0,0.01347301110497365,0,0
TXN0014809,CUST00022,2025-01-03 00:13:00,1574.36,Mobile Money Transfer,Segou,0,1,0,0.07686332469015048,0,0
TXN0000366,CUST00304,2025-01-03 00:23:00,51.95,Electronics,Mopti,0,1,0,0.02841722777655698,0,0
TXN0008627,CUST00425,2025-01-03 00:32:00,99.86,Online Retail,Segou,0,1,0,0.10992697058302206,0,0
TXN0009053,CUST00209,2025-01-03 01:16:00,314.83,Groceries,Mopti,1,1,0,0.10343436235668074,0,0
TXN0005630,CUST00495,2025-01-03 01:21:00,63.09,Mobile Money Transfer,Segou,1,1,0,0.05702587590081426,0,0
TXN0019875,CUST00181,2025-01-03 01:28:00,297.6,Groceries,Mopti,1,1,0,0.14422782001365425,0,0
TXN0012143,CUST00329,2025-01-03 01:43:00,179.1,Electronics,Mopti,1,1,0,0.08024291388259787,0,0
TXN0000619,CUST00382,2025-01-03 01:50:00,16.36,Utilities,Segou,1,1,0,0.04418717339799607,0,0
TXN0005597,CUST00042,2025-01-03 02:00:00,55.17,Cash Withdrawal,Bamako,2,1,0,0.04609051474542835,0,0
TXN0004295,CUST00215,2025-01-03 02:03:00,450.69,Travel,Sikasso,2,1,0,0.06142948987636077,0,0
TXN0011637,CUST00479,2025-01-03 02:28:00,251.81,Online Retail,Mopti,2,1,0,0.10099916379492052,0,0
TXN0004157,CUST00262,2025-01-03 02:40:00,222.19,Electronics,Mopti,2,1,0,0.04219711622214518,0,0
TXN0015812,CUST00226,2025-01-03 03:03:00,126.09,Electronics,Sikasso,3,1,0,0.021443841821051485,0,0
TXN0000866,CUST00304,2025-01-03 03:57:00,89.31,Mobile Money Transfer,Mopti,3,1,0,0.053828225575015515,0,0
TXN0018769,CUST00145,2025-01-03 04:04:00,28.84,Groceries,Segou,4,1,0,0.01612689492499846,0,0
TXN0009876,CUST00200,2025-01-03 04:10:00,95.31,Other,Kayes,4,1,0,0.029390582860407553,0,0
TXN0012872,CUST00443,2025-01-03 04:20:00,152.27,Restaurant,Mopti,4,1,0,0.02869758620490762,0,0
TXN0003557,CUST00084,2025-01-03 04:32:00,228.8,Cash Withdrawal,Kayes,4,1,0,0.02116786141030026,0,0
TXN0019012,CUST00449,2025-01-03 05:04:00,74.61,Groceries,Segou,5,1,0,0.02203717667666517,0,0
TXN0008141,CUST00035,2025-01-03 05:04:00,197.25,Electronics,Kayes,5,1,0,0.025450762536069847,0,0
TXN0017039,CUST00167,2025-01-03 05:15:00,65.84,Travel,Mopti,5,1,0,0.027183428898828528,0,0
TXN0003945,CUST00432,2025-01-03 05:51:00,15.2,Electronics,Bamako,5,1,0,0.013841001229875796,0,0
TXN0008607,CUST00078,2025-01-03 06:02:00,181.98,Electronics,Mopti,6,0,0,0.03280006686666703,0,0
TXN0012915,CUST00353,2025-01-03 06:44:00,260.31,Restaurant,Sikasso,6,0,0,0.06838025237569281,0,0
TXN0002446,CUST00488,2025-01-03 06:45:00,292.65,Travel,Sikasso,6,0,0,0.03531164629909045,0,0
TXN0017630,CUST00429,2025-01-03 06:47:00,110.2,Online Retail,Bamako,6,0,1,0.36533097765782585,0,0
TXN0007738,CUST00099,2025-01-03 07:19:00,86.76,Utilities,Bamako,7,0,0,0.09163290991392908,0,0
TXN0014656,CUST00264,2025-01-03 07:29:00,106.16,Cash Withdrawal,Kayes,7,0,0,0.033717142375945544,0,0
TXN0006794,CUST00090,2025-01-03 07:35:00,475.84,Utilities,Kayes,7,0,0,0.02675259298851419,0,0
TXN0010502,CUST00460,2025-01-03 07:56:00,101.26,Restaurant,Abroad - Europe,7,0,1,0.21350009868023265,0,0
TXN0008975,CUST00275,2025-01-03 07:56:00,197.59,Electronics,Kayes,7,0,0,0.03810280654063327,0,0
TXN0006304,CUST00483,2025-01-03 08:19:00,20.83,Cash Withdrawal,Bamako,8,0,0,0.044479044775984924,0,0
TXN0009885,CUST00492,2025-01-03 08:19:00,235.33,Electronics,Mopti,8,0,0,0.05941435906212842,0,0
TXN0013090,CUST00332,2025-01-03 08:30:00,19.53,Mobile Money Transfer,Sikasso,8,0,0,0.07572752343149787,0,0
TXN0001423,CUST00016,2025-01-03 08:43:00,319.24,Electronics,Kayes,8,0,0,0.055407465580996844,0,0
TXN0007252,CUST00157,2025-01-03 09:21:00,24.39,Online Retail,Sikasso,9,0,0,0.08085507827253362,0,0
TXN0005063,CUST00230,2025-01-03 09:25:00,186.11,Restaurant,Kayes,9,0,0,0.05198712280761533,0,0
TXN0019518,CUST00346,2025-01-03 10:07:00,327.97,Groceries,Mopti,10,0,0,0.04563509562377436,0,0
TXN0017193,CUST00165,2025-01-03 10:30:00,285.61,Restaurant,Sikasso,10,0,0,0.06134210944096464,0,0
TXN0010837,CUST00466,2025-01-03 10:40:00,60.43,Fuel,Bamako,10,0,0,0.04077287156572259,0,0
TXN0016498,CUST00206,2025-01-03 10:40:00,57.07,Groceries,Kayes,10,0,0,0.060266575484936746,0,0
TXN0002748,CUST00090,2025-01-03 10:42:00,178.68,Restaurant,Segou,10,0,1,0.3149442606101992,0,0
TXN0003372,CUST00384,2025-01-03 11:58:00,11.45,Travel,Kayes,11,0,0,0.014526067692678994,0,0
TXN0016165,CUST00063,2025-01-03 12:00:00,133.72,Mobile Money Transfer,Mopti,12,0,0,0.1464743278207494,0,0
TXN0003782,CUST00314,2025-01-03 12:06:00,233.49,Fuel,Sikasso,12,0,0,0.0744340706449347,0,0
TXN0016718,CUST00151,2025-01-03 12:26:00,25.18,Cash Withdrawal,Bamako,12,0,0,0.03795733999976233,0,0
TXN0016754,CUST00046,2025-01-03 12:49:00,184.58,Fuel,Bamako,12,0,0,0.06587831336042699,0,0
TXN0013031,CUST00244,2025-01-03 13:39:00,45.5,Online Retail,Sikasso,13,0,0,0.05634172741616664,0,0
TXN0002923,CUST00475,2025-01-03 13:43:00,82.03,Electronics,Bamako,13,0,0,0.09266736203933998,0,0
TXN0010633,CUST00490,2025-01-03 13:56:00,66.65,Other,Bamako,13,0,0,0.02602670944457146,0,0
TXN0012103,CUST00315,2025-01-03 14:03:00,54.16,Mobile Money Transfer,Sikasso,14,0,0,0.08502692279151011,0,0
TXN0013933,CUST00370,2025-01-03 14:29:00,247.78,Groceries,Sikasso,14,0,0,0.09448464211272337,0,0
TXN0009517,CUST00285,2025-01-03 14:43:00,155.62,Restaurant,Kayes,14,0,0,0.03923167417932352,0,0
TXN0019477,CUST00315,2025-01-03 15:27:00,243.95,Travel,Sikasso,15,0,0,0.10246614842718753,0,0
TXN0017493,CUST00353,2025-01-03 15:58:00,214.07,Groceries,Sikasso,15,0,0,0.1375634395332635,0,0
TXN0014615,CUST00398,2025-01-03 16:01:00,318.57,Electronics,Bamako,16,0,0,0.07400163316294975,0,0
TXN0007603,CUST00228,2025-01-03 16:09:00,102.46,Mobile Money Transfer,Abroad - Europe,16,0,1,0.813001691805267,1,1
TXN0000507,CUST00426,2025-01-03 16:34:00,210.81,Electronics,Bamako,16,0,0,0.0842151235556734,0,0
TXN0005007,CUST00448,2025-01-03 17:40:00,69.79,Electronics,Kayes,17,0,0,0.0832486474320008,0,0
TXN0003194,CUST00171,2025-01-03 17:53:00,64.48,Electronics,Bamako,17,0,1,0.12444880730495124,0,0
TXN0009872,CUST00006,2025-01-03 18:04:00,354.37,Travel,Abroad - USA,18,0,1,0.15025108938631176,0,0
TXN0009959,CUST00341,2025-01-03 18:13:00,241.6,Groceries,Bamako,18,0,0,0.16306805336354513,0,0
TXN0013655,CUST00143,2025-01-03 18:15:00,28.89,Online Retail,Mopti,18,0,0,0.061819472157566675,0,0
TXN0008269,CUST00139,2025-01-03 18:55:00,596.47,Groceries,Segou,18,0,0,0.12399199580084963,0,0
TXN0001864,CUST00318,2025-01-03 19:03:00,45.0,Groceries,Bamako,19,0,0,0.02749473043204792,0,0
TXN0016038,CUST00163,2025-01-03 19:56:00,46.27,Other,Bamako,19,0,0,0.012833781153847553,0,0
TXN0016433,CUST00033,2025-01-03 20:29:00,28.8,Travel,Kayes,20,0,0,0.012739690221056746,0,0
TXN0013357,CUST00069,2025-01-03 21:23:00,112.95,Travel,Sikasso,21,0,0,0.10687286437461442,0,0
TXN0016685,CUST00444,2025-01-03 21:32:00,107.98,Travel,Segou,21,0,0,0.04118587315375581,0,0
TXN0003221,CUST00499,2025-01-03 21:40:00,767.12,Utilities,Bamako,21,0,0,0.026331074399382374,0,0
TXN0000988,CUST00490,2025-01-03 21:47:00,46.92,Cash Withdrawal,Bamako,21,0,0,0.02810992539060652,0,0
TXN0004553,CUST00480,2025-01-03 22:15:00,167.23,Travel,Segou,22,0,0,0.03356755425565591,0,0
TXN0014907,CUST00241,2025-01-03 22:41:00,56.57,Restaurant,Bamako,22,0,0,0.020005623639329957,0,0
TXN0011353,CUST00155,2025-01-03 22:52:00,75.01,Electronics,Sikasso,22,0,0,0.06588065923754698,0,0
TXN0013532,CUST00175,2025-01-03 23:01:00,105.89,Other,Kayes,23,1,0,0.05677349343395011,0,0
TXN0002069,CUST00262,2025-01-03 23:07:00,603.83,Utilities,Mopti,23,1,0,0.02810142490463059,0,0
TXN0016219,CUST00289,2025-01-03 23:07:00,225.15,Travel,Mopti,23,1,0,0.051597820609093015,0,0
