student_id,gender,major,study_hours_per_week,attendance_rate,prior_gpa,extracurricular_activities,part_time_job,final_gpa
STU00556,Female,Computer Engineering,6.8,93.9,2.05,1,1,1.44
STU00117,f,Electrical Engineering,4.4,100.0,3.08,0,0,2.84
STU01096,F,Mathematics,7.9,84.5,3.34,1,0,2.93
STU00347,Male,Business Administration,11.6,71.2,2.6,0,1,1.84
STU00028,M,Data Science,7.1,100.0,3.64,1,0,2.97
STU00833,M,Mathematics,2.2,67.2,2.55,1,1,1.2
STU00635,f,Electrical Engineering,4.5,93.9,3.55,1,1,2.44
STU00023,m,Data Science,6.3,61.4,2.58,0,1,1.63
STU00975,F,Computer Engineering,8.7,99.8,2.37,0,0,2.38
STU00444,F,Data Science,6.1,73.7,3.12,0,0,1.97
STU00611,m,Mathematics,2.9,100.0,2.23,1,0,2.39
STU00136,Female,Economics,5.4,82.9,2.97,1,1,1.83
STU00703,M,Business Administration,4.3,62.5,2.47,0,0,1.59
STU01030,f,Economics,4.6,65.2,3.1,1,0,1.66
STU00392,Male,Data Science,3.9,86.8,3.2,1,0,1.98
STU00269,F,Electrical Engineering,4.0,72.6,3.01,1,1,2.06
STU00809,M,Electrical Engineering,3.7,81.3,2.94,0,1,1.96
STU00813,Male,Business Administration,12.6,69.2,3.65,1,1,2.43
STU01026,M,Business Administration,9.1,100.0,2.7,1,0,2.65
STU00965,Female,Computer Engineering,2.1,78.4,2.49,0,0,1.35
STU01098,f,Computer Engineering,1.6,87.7,3.08,0,0,2.65
STU00470,Female,Computer Engineering,6.0,100.0,2.91,0,0,2.01
STU00568,m,Electrical Engineering,,,,0,0,1.27
STU00515,F,Economics,7.0,78.9,3.17,0,0,2.55
STU00831,f,Business Administration,,,,1,0,1.8
STU00661,F,Computer Engineering,6.9,75.7,2.67,1,0,1.65
STU00344,Female,Data Science,7.4,95.7,3.0,0,0,2.68
STU00595,m,Mathematics,11.1,82.7,3.38,0,0,1.91
STU00159,Female,Economics,,,,0,0,1.21
STU01080,M,Mathematics,6.0,82.4,2.91,1,0,1.95
STU00759,f,Mathematics,6.5,100.0,3.29,1,0,2.39
STU00085,M,Data Science,1.7,60.6,2.17,1,1,1.19
STU00908,m,Business Administration,6.1,74.0,3.84,1,1,2.48
STU01161,f,Business Administration,9.5,84.3,2.49,0,0,2.2
STU00165,m,Computer Engineering,4.1,75.8,2.57,1,0,1.82
STU00072,F,Data Science,6.0,91.2,3.17,1,0,2.3
STU00894,F,Business Administration,6.9,89.4,2.17,0,1,1.39
STU00521,m,MATHEMATICS,8.2,97.7,3.07,0,0,3.13
STU01097,Male,Electrical Engineering,9.3,55.5,2.16,0,1,1.72
STU00305,m,Electrical Engineering,4.8,63.4,3.2,1,0,1.94
STU01023,M,Business Administration,1.4,70.4,2.78,0,0,1.81
STU01103,f,Computer Engineering,4.5,93.7,2.2,1,0,2.33
STU00795,m,Economics,3.7,96.8,2.15,1,0,1.12
STU00293,F,Economics,10.9,87.0,3.37,1,0,2.77
STU01189,Female,Electrical Engineering,7.3,75.2,2.76,1,0,2.5
STU01087,m,Data Science,11.9,75.3,1.72,0,0,2.18
STU00035,Female,Business Administration,4.4,62.2,3.53,0,1,1.84
STU00769,Male,Mathematics,8.5,69.6,2.24,1,0,2.03
STU00787,f,Data Science,3.0,100.0,2.01,0,0,1.58
STU01084,F,Electrical Engineering,10.2,63.0,3.09,0,0,1.83
STU00139,F, Electrical Engineering  ,4.8,100.0,2.98,0,0,2.41
STU00741,M,Computer Engineering,2.3,83.5,2.95,1,1,1.81
STU00059,M,Computer Engineering,9.6,76.3,2.4,0,0,2.11
STU00286,Female,Data Science,1.4,95.3,3.52,0,0,1.81
STU01143,m,Electrical Engineering,7.1,100.0,3.17,1,0,2.17
STU00343,M,Data Science,2.0,73.0,2.28,0,1,1.36
STU00608,f,Mathematics,8.1,69.8,2.53,0,0,1.84
STU00475,M,Business Administration,3.3,100.0,2.86,1,0,2.49
STU00683,Male,Business Administration,,,,0,1,1.34
STU00246,F,Data Science,4.1,66.6,2.22,1,0,1.96
STU00202,f,Mathematics,9.3,67.1,2.25,1,0,1.26
STU01190,F,Business Administration,4.4,61.5,2.13,1,0,1.3
STU00870,m,Electrical Engineering,29.3,83.1,2.23,1,0,3.21
STU00934,Male,DATA SCIENCE,4.6,100.0,2.58,1,0,2.36
STU00007,Female,Business Administration,7.4,100.0,3.04,0,0,3.12
STU00575,f,Economics,8.2,76.0,3.63,0,0,2.56
STU00625,Female,Business Administration,4.8,100.0,2.64,0,1,1.83
STU00542,Female,Mathematics,5.5,74.3,3.45,1,0,1.9
STU01011,M,Electrical Engineering,7.0,92.6,3.02,0,0,2.29
STU00626,F,Business Administration,5.8,100.0,2.83,1,0,3.02
STU00774,F,Business Administration,6.2,93.2,2.83,1,0,1.95
STU00739,M,Business Administration,9.3,80.2,3.67,0,1,2.05
STU00326,M,Data Science,4.2,79.1,2.55,1,0,1.97
STU00665,M,Electrical Engineering,9.7,86.2,2.86,0,0,2.55
STU00805,F,Computer Engineering,6.5,100.0,2.32,0,0,2.7
STU00656,f,Computer Engineering,4.8,100.0,1.98,1,0,2.22
STU01038,Female,Mathematics,16.7,82.8,2.71,1,0,2.76
STU00654,F,Business Administration,6.0,91.8,1.45,0,0,1.38
STU00436,M,Electrical Engineering,4.1,81.9,2.96,0,1,1.86
STU00258,M,Mathematics,4.3,100.0,3.88,0,1,3.24
STU00969,Male,Electrical Engineering,6.3,89.0,3.47,0,0,3.06
STU01140,M,Mathematics,4.4,59.0,3.01,1,1,1.73
STU00586,m,Economics,5.4,48.4,3.86,1,0,2.6
STU00095,m,Mathematics,9.1,72.2,2.72,0,0,2.41
STU01130,Female,Economics,2.6,96.2,3.59,0,1,2.22
STU00764,Female,Business Administration,3.8,85.7,1.1,0,1,1.41
STU00501,Male,Data Science,8.3,79.6,2.81,0,0,2.27
STU00989,F,Business Administration,4.4,86.3,2.49,1,0,1.68
STU00552,Female,Computer Engineering,4.2,100.0,3.14,1,0,2.67
STU00682,f,Computer Engineering,12.1,81.2,2.61,1,1,2.02
STU01144,m,Business Administration,8.0,60.5,3.35,0,0,1.85
STU00548,F,Economics,,,,1,0,1.8
STU00250,M,Computer Engineering,6.9,79.5,2.98,0,0,2.21
STU00690,Male,Data Science,13.4,96.0,2.44,0,1,2.02
STU00907,F,Computer Engineering,7.5,83.4,3.57,0,0,2.15
STU00990,Male,Mathematics,8.0,95.6,2.82,1,0,2.72
STU00564,Male,Economics,8.3,92.7,2.42,0,1,2.07
STU00579,M,Electrical Engineering,8.0,72.9,3.02,1,0,1.79
STU01007,Female,Economics,6.4,89.2,2.65,0,0,2.32
STU00613,Female,Computer Engineering,6.2,75.4,3.9,0,0,2.9
STU00997,m,Electrical Engineering,4.0,69.3,2.95,1,0,1.95
STU00766,F,Electrical Engineering,1.3,74.4,1.32,0,0,1.15
STU00691,Female,Computer Engineering,3.1,72.7,2.45,0,0,1.82
STU01176,Female,Economics,9.4,76.0,3.12,0,0,2.49
STU00590,f,Mathematics,2.7,75.2,2.79,0,1,1.51
STU00929,f,Mathematics,3.2,100.0,4.0,0,0,2.61
STU00637,m,Economics,6.5,55.4,2.64,1,1,2.37
STU00424,f,Business Administration,6.1,99.1,2.67,0,0,2.16
STU00406,Female,Data Science,8.8,97.0,2.72,0,0,2.42
STU01160,Male,Mathematics,2.5,100.0,3.63,0,0,2.53
STU00615,m,Mathematics,3.9,68.3,3.39,0,0,2.34
STU00829,f,Computer Engineering,4.0,64.3,3.07,1,0,1.77
STU01052,Male,Computer Engineering,1.5,63.0,3.81,0,1,2.29
STU01070,m,Computer Engineering,,,,0,1,1.91
STU00780,M,Data Science,6.8,74.5,3.02,0,0,1.89
STU00445,Female,Business Administration,3.2,64.6,2.26,0,1,2.5
STU00201,m,Electrical Engineering,7.7,100.0,1.62,0,1,1.58
STU00300,F,Electrical Engineering,4.4,77.7,2.8,1,0,2.21
STU00701,f,Mathematics,7.1,91.9,3.73,0,1,2.07
STU00208,M,Electrical Engineering,13.5,75.9,2.47,1,0,2.94
STU00912,m,Economics,5.9,75.6,1.86,0,0,1.45
STU00438,m,Computer Engineering,1.8,76.0,2.15,1,1,2.05
STU00060,Male,Electrical Engineering,7.4,98.0,1.78,1,0,1.67
STU00634,m,Computer Engineering,1.4,72.0,3.54,0,0,2.08
STU00012,F,Economics,1.9,77.5,2.35,1,0,1.82
STU01076,m, Computer Engineering  ,10.6,89.2,2.93,0,1,2.37
STU00822,f,Electrical Engineering,3.4,92.3,3.56,0,0,2.01
STU00295,M,Mathematics,7.3,92.4,1.61,0,1,1.69
STU00316,m,Data Science,5.6,94.1,2.93,1,1,2.06
STU00720,M,Data Science,6.0,38.4,2.08,1,1,1.15
STU00349,f,Business Administration,4.9,73.3,3.01,0,1,1.92
STU00924,Female,Electrical Engineering,4.7,88.5,3.24,1,0,2.71
STU00057,M,BUSINESS ADMINISTRATION,13.1,77.6,3.01,1,0,2.93
STU00370,Male,Economics,5.5,72.1,1.71,1,1,1.91
STU00858,F,Electrical Engineering,5.7,93.3,2.39,1,0,2.13
STU00071,M,Computer Engineering,3.8,65.9,2.93,1,1,1.7
STU01148,M,Data Science,8.2,77.4,3.65,0,1,2.05
STU01193,Female,Economics,11.8,86.3,3.59,0,0,2.4
STU00097,F,Data Science,7.4,74.3,3.11,1,0,2.63
STU00736,f, Business Administration  ,3.8,57.1,3.07,1,0,1.95
STU00711,Female,Business Administration,3.4,80.7,3.15,0,1,2.08
STU00599,F,Mathematics,12.1,83.0,2.86,1,0,2.28
STU01138,M,Electrical Engineering,3.0,51.1,1.98,0,0,0.85
STU00121,M,Mathematics,5.5,63.8,3.39,1,0,2.61
STU00132,m,Mathematics,10.1,75.9,3.42,1,1,2.44
STU00236,Female,Business Administration,0.4,87.1,3.15,0,0,2.45
STU00162,m,Economics,2.5,100.0,1.45,0,0,1.74
STU00775,M,Electrical Engineering,11.3,70.5,2.71,0,1,2.35
STU00317,Male,Electrical Engineering,10.8,54.4,3.03,0,1,1.62
STU00235,Female,Electrical Engineering,7.1,75.8,3.38,1,0,2.71
STU00733,m,Computer Engineering,7.5,87.3,2.92,1,0,2.51
STU00439,Female,Mathematics,6.9,88.5,2.51,0,0,2.18
STU00604,M,Data Science,7.4,70.4,2.54,0,1,1.82
STU00033,M,Business Administration,4.2,92.3,3.15,0,0,2.46
STU00045,F,Economics,4.4,90.9,2.18,1,0,2.3
STU00574,Female,Business Administration,2.7,94.5,2.57,1,1,2.13
STU00567,Female,Data Science,2.1,96.8,1.74,1,0,1.48
STU00267,M,Business Administration,9.7,74.6,2.59,1,0,1.96
STU00763,m,Mathematics,2.3,71.0,2.79,0,1,1.37
STU00600,Male,Economics,4.6,99.6,3.52,0,0,2.6
STU01139,f,Electrical Engineering,0.3,98.4,2.44,1,1,2.14
STU00199,m,Economics,4.7,84.9,3.53,1,0,2.0
STU01171,F,Data Science,6.8,71.1,3.09,1,0,2.51
STU00644,Male,ELECTRICAL ENGINEERING,1.7,73.8,2.54,1,1,1.8
STU00416,Male,Data Science,6.3,87.3,2.53,1,0,1.92
STU00492,F,Electrical Engineering,3.7,81.8,2.5,1,1,1.86
STU00051,Male,Economics,4.3,100.0,1.8,0,0,1.55
STU00672,m,Data Science,5.9,98.4,3.42,1,0,2.79
STU00655,F,Computer Engineering,3.7,84.0,3.15,0,0,2.56
STU01009,f,Economics,3.7,71.8,2.74,0,0,2.1
STU00319,m,Computer Engineering,10.7,71.9,2.94,1,0,2.26
STU00131,m,Data Science,6.7,100.0,3.14,0,0,1.91
STU00423,Female,Electrical Engineering,8.3,77.4,2.79,1,1,1.77
STU01079,F,Business Administration,6.9,77.6,3.54,1,0,2.3
STU00086,F,Electrical Engineering,8.2,94.1,2.74,0,0,1.82
STU01042,f,Computer Engineering,1.1,66.8,2.61,0,0,2.23
STU00196,Male,Mathematics,14.8,97.1,2.48,1,0,2.74
STU00883,Male,Electrical Engineering,10.0,86.5,2.33,0,1,2.2
STU00355,f,DATA SCIENCE,7.4,74.6,2.47,1,0,1.73
STU01049,m,Business Administration,3.1,73.6,1.84,1,1,1.63
STU01093,F,Mathematics,1.6,87.5,1.25,0,0,1.07
STU01045,M,Business Administration,2.2,69.0,2.14,1,1,1.52
STU00520,m,Computer Engineering,3.9,100.0,3.2,1,1,2.49
STU00514,f,Electrical Engineering,9.7,87.0,2.72,0,0,2.41
STU00834,Female,Economics,5.7,68.9,2.86,0,0,1.55
STU00232,F,Mathematics,1.7,97.1,3.05,0,1,1.76
STU01001,F,Computer Engineering,3.6,82.7,2.73,0,0,2.24
STU01182,Female,Economics,6.2,69.1,2.58,1,0,2.2
STU00341,M,Electrical Engineering,8.1,93.9,3.0,0,1,1.91
STU01063,M,Computer Engineering,10.1,70.0,1.43,0,1,1.93
STU00800,F,Business Administration,3.6,90.6,2.3,0,1,2.03
STU00230,f,Economics,10.9,86.4,3.34,0,0,3.1
STU00550,m,Computer Engineering,3.3,91.9,2.85,0,0,2.08
STU00748,Male,Computer Engineering,2.9,94.3,2.46,0,1,1.73
STU01111,F,Electrical Engineering,1.4,66.2,2.62,1,1,1.67
STU00961,Female,BUSINESS ADMINISTRATION,4.1,61.9,4.0,1,1,2.04
STU00783,f,Business Administration,2.5,78.4,1.98,1,0,1.58
STU01082,f,Data Science,3.5,52.0,2.6,1,0,1.4
STU00554,f,Economics,10.8,93.3,2.52,0,0,2.51
STU01017,M,Data Science,6.0,61.5,3.38,0,0,2.15
STU00533,m,Electrical Engineering,9.6,100.0,2.49,1,0,2.2
STU00426,f,Business Administration,5.5,100.0,3.18,1,0,2.93
STU00441,f,Business Administration,3.0,100.0,3.07,1,0,2.24
STU00013,M,Computer Engineering,9.5,75.6,2.81,0,1,1.95
STU00978,f,Economics,5.9,58.9,3.3,0,1,2.18
STU00886,Female,Business Administration,4.6,81.7,2.99,0,1,2.8
STU00352,M,Computer Engineering,6.1,91.0,2.41,0,1,1.67
STU00400,M,Computer Engineering,8.3,66.1,3.21,0,0,1.72
STU00698,F,Business Administration,9.8,80.1,2.5,1,1,1.79
STU00148,F,Electrical Engineering,6.7,87.9,2.91,1,1,2.37
STU00531,F,Computer Engineering,2.8,98.6,2.24,0,1,1.43
STU00279,Male,Computer Engineering,12.0,89.1,3.02,1,0,2.28
STU00782,Female,Data Science,1.8,52.9,2.56,0,0,1.59
STU00847,F,Business Administration,6.0,87.4,3.39,1,1,2.21
STU00826,m,Mathematics,0.8,58.5,2.61,0,0,1.71
STU00964,f,Electrical Engineering,4.9,97.4,2.91,0,0,2.14
STU01071,Female,Data Science,18.1,76.6,3.17,1,1,3.12
STU00482,m,Data Science,6.4,76.3,2.32,0,1,1.71
STU01124,Female,Computer Engineering,5.8,67.2,1.42,1,1,1.27
STU00525,m,Computer Engineering,7.9,88.6,3.32,1,0,1.87
STU00993,F,Electrical Engineering,1.9,89.9,3.24,1,0,1.72
STU00652,M,Economics,7.7,100.0,2.71,1,0,2.21
STU00591,m,DATA SCIENCE,4.3,69.5,3.67,0,1,1.91
STU00859,Male,Business Administration,4.3,78.1,3.09,0,0,1.98
STU00343,M,Data Science,2.0,73.0,2.28,0,1,1.36
STU01127,m,Computer Engineering,1.8,87.7,3.21,0,1,1.85
STU00505,M,Computer Engineering,6.8,89.2,3.07,0,0,2.04
STU00932,Female,Computer Engineering,11.1,67.3,2.52,0,1,1.75
STU00203,Male,Electrical Engineering,3.5,100.0,2.61,1,0,1.41
STU00443,Male,Computer Engineering,4.9,95.7,3.4,1,0,2.72
STU00284,Male,Economics,6.4,75.5,3.04,0,0,2.03
STU00839,Male,Data Science,9.7,63.1,2.49,0,0,2.29
STU00335,Male,Computer Engineering,,,,1,0,2.64
STU00657,Female,Data Science,2.5,55.0,2.73,0,1,1.4
STU00909,m,Computer Engineering,3.3,71.7,3.23,0,0,2.5
STU01081,M,Mathematics,3.5,82.8,3.9,0,0,2.41
STU00008,M,Data Science,5.7,77.9,2.84,1,0,1.94
STU00412,M,Data Science,2.7,68.8,2.47,1,0,1.95
STU00708,Male,Mathematics,,,,0,0,1.95
STU00213,M,Mathematics,4.4,79.5,2.96,0,0,2.02
STU00683,Male,Business Administration,,,,0,1,1.34
STU01047,m,Economics,1.8,70.2,2.58,0,0,1.68
STU00798,m,Business Administration,6.7,84.3,3.37,0,0,1.63
STU00706,f,ELECTRICAL ENGINEERING,5.7,62.9,2.92,0,0,2.27
STU00565,Female,Business Administration,3.2,61.8,3.71,1,0,2.6
STU00198,M,Mathematics,,,,1,1,2.47
STU00544,Male,Business Administration,3.9,73.4,3.5,0,1,2.31
STU00785,M,Computer Engineering,13.3,45.8,2.48,1,0,1.51
STU00903,m,Electrical Engineering,9.1,87.6,2.58,1,0,2.68
STU00425,m,Computer Engineering,9.0,92.0,3.42,0,1,2.28
STU00457,m,Computer Engineering,12.6,72.5,2.26,1,0,1.96
STU00917,F,Electrical Engineering,5.3,76.5,4.0,0,1,1.83
STU01069,f, Business Administration  ,7.7,99.5,2.76,0,0,2.5
STU00193,M,Data Science,6.8,93.0,2.97,0,0,2.41
STU00949,M,Electrical Engineering,5.9,91.0,1.66,1,1,1.28
STU00486,M,Mathematics,7.1,50.5,3.27,0,0,1.92
STU00722,M,Data Science,6.5,100.0,3.65,0,0,2.45
STU00287,m,Business Administration,12.4,76.7,2.68,0,1,1.51
STU00631,Male,Economics,2.0,88.6,3.04,1,1,1.95
STU00222,F,Economics,7.1,82.0,2.88,0,0,2.46
STU00244,Male,Mathematics,3.1,98.7,2.24,1,0,2.19
STU00228,Female,Business Administration,,,,0,0,2.54
STU00983,F,Electrical Engineering,9.3,72.8,3.1,0,0,2.45
STU00437,f,Business Administration,8.6,71.9,1.94,1,1,1.64
STU00133,m,Electrical Engineering,3.8,100.0,2.4,1,0,2.04
STU00432,m,Data Science,6.4,87.8,2.52,0,1,2.34
STU00331,Female,Electrical Engineering,2.4,81.4,2.35,0,0,1.41
STU00126,f,Data Science,2.6,75.8,2.76,0,0,1.71
STU00601,f,Electrical Engineering,5.5,83.5,4.0,0,0,2.57
STU00973,f,Electrical Engineering,2.5,44.9,2.1,0,0,1.73
STU00427,Female,Business Administration,3.0,85.4,3.1,1,1,2.1
STU00247,m,Data Science,16.1,92.0,2.77,1,1,2.49
STU00388,m,Data Science,6.0,100.0,3.88,1,0,2.62
STU00212,Female,Computer Engineering,7.3,89.1,4.0,1,1,2.91
STU00623,f,Economics,,,,1,1,2.21
STU01152,m,Electrical Engineering,2.0,95.1,1.31,1,0,1.94
STU00699,m,Electrical Engineering,6.4,85.1,1.62,0,0,2.08
STU00596,F,Business Administration,13.0,75.5,2.94,0,0,2.67
STU00814,Female,Computer Engineering,6.4,72.6,2.91,0,0,2.1
STU01186,M,Data Science,7.2,60.2,2.63,0,0,2.01
STU00875,m,Computer Engineering,9.4,76.8,4.0,1,0,2.67
STU00895,Female,Business Administration,6.0,81.7,2.31,0,1,2.03
STU00633,m,Mathematics,3.4,86.9,3.41,1,1,2.44
STU00346,M,Data Science,2.1,93.9,2.97,0,0,1.78
STU00716,Female,Economics,7.5,100.0,3.53,0,0,2.7
STU01125,F,Economics,1.8,80.5,2.83,1,0,1.68
STU00358,m, Economics  ,3.6,100.0,3.32,0,1,2.35
STU00715,f,Mathematics,4.3,76.7,2.07,0,1,1.66
STU01050,Female,Mathematics,6.4,89.9,1.27,0,0,1.33
STU00643,M,Electrical Engineering,13.8,93.8,2.57,0,0,2.53
STU00309,m,Electrical Engineering,1.2,72.0,2.94,1,1,1.4
STU00545,M, Computer Engineering  ,8.8,72.1,3.06,1,0,2.08
STU00353,Male,Data Science,8.8,100.0,2.62,1,1,2.57
STU00365,F,Computer Engineering,2.1,54.8,2.46,1,0,1.38
STU00513,Female,Economics,9.6,98.6,3.4,1,0,2.39
STU01119,Male,Economics,2.2,94.1,2.13,1,1,1.28
STU00386,Female,Business Administration,9.3,98.2,3.14,0,1,2.68
STU01008,M,Business Administration,3.0,78.7,3.18,1,1,2.07
STU00953,Female,Computer Engineering,10.4,96.6,3.06,0,0,2.78
STU00500,Male,Economics,4.4,97.1,3.08,1,1,2.77
STU00219,Male,Business Administration,2.9,86.0,3.02,0,0,2.67
STU00757,f,Mathematics,1.0,69.9,2.96,0,1,1.79
STU00395,F,Electrical Engineering,3.9,100.0,1.96,1,0,2.2
STU00104,m,Data Science,6.3,75.0,1.99,1,0,2.16
STU00488,M,COMPUTER ENGINEERING,7.9,83.6,3.85,1,0,3.01
STU00261,Male,Business Administration,5.7,75.1,2.57,1,0,2.09
STU00709,f,Data Science,4.1,84.9,3.31,1,1,2.44
STU00680,f,Economics,6.0,66.2,2.74,0,0,2.18
STU01188,f,Computer Engineering,8.4,85.1,2.65,0,1,1.72
STU00754,Female,Mathematics,4.3,67.9,2.92,0,0,1.61
STU00399,M,Electrical Engineering,2.2,86.9,3.25,0,0,2.21
STU00970,M,Electrical Engineering,10.8,79.0,2.91,1,1,2.13
STU00728,m,Business Administration,4.9,81.4,2.98,0,0,2.29
STU00195,Male,Computer Engineering,19.4,85.6,2.59,0,1,2.52
STU00322,f,Computer Engineering,10.6,71.2,3.12,1,0,2.17
STU00540,Male,Computer Engineering,4.0,90.7,2.43,1,1,2.38
STU01065,M,Computer Engineering,3.9,77.7,2.78,1,0,1.85
STU00807,f,Electrical Engineering,7.4,67.8,3.76,0,0,2.09
STU00675,m,Electrical Engineering,5.6,81.1,2.95,0,1,2.02
STU00777,Female,Electrical Engineering,6.2,100.0,2.18,0,0,2.33
STU00446,Female,Electrical Engineering,8.5,88.9,3.46,1,1,2.56
STU00742,Male,Computer Engineering,5.5,85.6,2.56,0,0,2.08
STU01196,F,Computer Engineering,2.9,86.6,2.54,0,0,2.44
STU00695,m,Mathematics,7.5,100.0,1.64,1,0,2.19
STU00303,f,DATA SCIENCE,6.5,77.6,2.18,1,1,1.9
STU00910,M,Data Science,1.1,95.4,2.45,0,0,1.86
